tag,message
ham,Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.
ham,10 min later k...
ham,Heehee that was so funny tho
ham,"I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday"
ham,Try neva mate!!
ham,Infact happy new year. How are you where are you when are we seeing
ham,Havent.
ham,Ya:)going for restaurant..
ham,*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?
ham,You made my day. Do have a great day too.
ham,"Come to me right now, Ahmad"
ham,Hey we can go jazz power yoga hip hop kb and yogasana 
ham,Hi.what you think about match?
ham,"Dear, will call Tmorrow.pls accomodate."
ham,Oh:)as usual vijay film or its different?
ham,Thanx 4 2day! U r a goodmate I THINK UR RITE SARY! ASUSUAL!1 U CHEERED ME UP! LOVE U FRANYxxxxx
ham,Mm i am on the way to railway
ham,ÌÏ ready then call me...
ham,Come by our room at some point so we can iron out the plan for this weekend
ham,Ok cool. See ya then.
ham,Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.
ham,LOL that would be awesome payback.
ham,U meet other fren dun wan meet me ah... Muz b a guy rite...
ham,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs
ham,Then u going ikea str aft dat?
ham,"Hey there! Glad u r better now. I hear u treated urself to a digi cam, is it good? We r off at 9pm. Have a fab new year, c u in coupla wks!"
ham,"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it."
ham,Not yet. Just i'd like to keep in touch and it will be the easiest way to do that from barcelona. By the way how ru and how is the house?
ham,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied \Boost is d secret of my energy\"" n instantly d girl shouted \""our energy\"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8"""
ham,Oh is it? Send me the address
ham,And I don't plan on staying the night but I prolly won't be back til late
ham,Gr8. So how do you handle the victoria island traffic. Plus when's the album due
ham,I anything lor.
ham,Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.
ham,Super da:)good replacement for murali
ham,Ma head dey swell oh. Thanks for making my day
ham,My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.
ham,Takin a shower now but yeah I'll leave when I'm done
ham,What's your room number again? Wanna make sure I'm knocking on the right door
ham,Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.
ham,Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.
ham,Whens your radio show?
ham,"Actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though"
ham,Nope... Think i will go for it on monday... Sorry i replied so late
ham,Thanks honey but still haven't heard anything I will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!
ham,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos..."
ham,No problem baby. Is this is a good time to talk? I called and left a message.
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
ham,Hey whats up? U sleeping all morning?
