tag,message_transformed
0,shop lor rain mah hard 2 leav orchard
0,u still paint ur wall
0,lol oh got friend dog
0,sure get acknowledg astoundingli tactless gener faggi demand blood oath fo
0,stuck da middl da row da right hand side da lt
0,u get messag
0,gal n boy walk park hold ur hand u think would run away jst wana c feel walk heaven princ gn
0,hi juan im come home fri hey cours expect welcom parti lot present ill phone u get back load love nicki x x x x x x x x x
0,ok need tell anyth go sleep good night
0,yep pretti sculptur
0,uncl timi help clear car
0,oh that late well good night give u call tomorrow iam go go sleep night night
0,watch tv lor
0,soon real thing princess make wet
0,v nice 2 sheffield tom 2 air opinion categori 2 b use 2 measur ethnic next censu busi transcrib
0,sorri im get feel realli total reject kinda thing
0,thank much skype wit kz sura didnt get pleasur compani hope good given ultimatum oh countin aburo enjoy messag sent day ago
0,ye nigh cant aha
0,kinda first one get twelv aah speak tomo
0,said went back bed ca sleep anyth
0,want tel u one thing u mistak k messag sent
0,still look car buy gone 4the drive test yet
0,mayb pressi
0,aft finish lunch go str lor ard 3 smth lor u finish ur lunch alreadi
0,hey veggi pizza
0,hospit return home even
0,lol grr mom take forev prescript pharmaci like 2 minut away ugh
0,b4 thursday
0,gon na ask lol think 7
0,wat late still earli mah juz go 4 dinner lor aiya dunno
0,theoret yeah could abl come
0,ìï eatin later eatin wif fren lei ìï go home first
0,ok anyway need chang said
0,
0,dun believ thk u told
0,fuuuuck need stop sleepin sup
0,yup anyth lor u dun wan ok
0,ye sura sun tv lol
0,exam februari wish great day
0,u wear
0,use hope agent drop sinc book thing year whole boston nyc experi
0,ok lor town lei
0,wait 4 bu stop aft ur lect lar dun c go get car come back n pick
0,gon na rip uteru
0,hope alright babe worri might felt bit despar learn job fake wait come back love
0,meet da call
0,yeah get random dude need chang info sheet parti lt gt never studi safe
0,night night see tomorrow
0,back lem know readi
0,thank much selfless love plenti
0,oh yeah forgot u take 2 shop
0,good afternoon love goe day hope mayb got lead job think boytoy send passion kiss across sea
0,jay get realli impati belliger
0,actual nvm got hella cash still lt gt ish
0,bishan lar nearer need buy earli co buy got ta park car
0,eldest know
0,ok ur typic repli
0,hey mr go sea view coupl gay mean game give bell ya finish
0,sent
0,problem spend lot qualiti time togeth
0,oga left phone home saw ur messag hope good great weekend
0,callin culdnt talkbut wannatel u detail later wenwecan chat properli
0,si catch e show e afternoon watch w c u wan 2 watch today tmr lor
0,dont file bag work call tell find anyth room
0,length e e top shorter n got fring thk go liao lazi dun wan 2 distract u also
0,pussi perfect
0,lol ok ill tri send warn sprint dead slow prolli get tomorrow
0,get hep b immunis nigeria
0,ok arm feel weak cuz got shot go anoth time
0,haha got fast lose weight thk muz go 4 month den got effect gee later go aust put bk e weight
0,huh cant thk oredi mani page
0,movi laptop
0,k roommat also want dubsack anoth friend may also want plan bring extra tell know sure
0,say explicitli told nora know someon probabl gon na bother
0,quit lor dun tell wait get complac
0,one day billion class right
0,whole car appreci last two dad map read semi argument apart thing go p
0,thanx yup come back sun finish dinner go back 2 hotel time fli tog 4 exactli mth today hope haf mani mth come
0,alright set text man
0,realli sorri wo b abl 2 u find yr term go ok
0,ok least armand still around
0,watch ajith film ah
0,sure whenev show fuck gt
0,ahhh work vagu rememb feel like lol
0,wait 4 insid da car park
0,fetch yun u fetch
0,also came room
0,roger probabl go rem 20
